CustomerID,Recency,Frequency,Monetary,Coupon_Ratio,Tenure_Months,Avg_Order_Value,Purchase_Interval,Orders_last_30d,Spend_last_30d,Active_30d,Cluster,Churn
12346,108,1,180.99,1.0,31,180.99,943.64,0.0,0.0,0,3,1
12347,60,31,14500.04,0.3333333333333333,20,467.7432258064516,19.63870967741936,0.0,0.0,0,6,0
12348,74,8,1639.27,0.4782608695652174,39,204.90875,148.395,0.0,0.0,0,1,0
12350,18,11,1487.9499999999998,0.3529411764705882,25,135.2681818181818,69.18181818181819,11.0,1487.95,1,1,0
12356,108,13,2079.96,0.3055555555555556,31,159.99692307692308,72.58769230769231,0.0,0.0,0,1,1
12359,131,3,697.81,0.125,41,232.60333333333327,416.0133333333333,0.0,0.0,0,1,1
12370,190,44,7607.29,0.2307692307692307,21,172.89295454545456,14.52818181818182,0.0,0.0,0,5,1
12373,25,5,574.54,0.2142857142857142,23,114.908,140.024,5.0,574.54,1,1,0
12377,41,37,10721.99,0.2727272727272727,27,289.7835135135135,22.21297297297297,0.0,0.0,0,6,0
12383,100,39,5547.91,0.3043478260869565,32,142.25410256410257,24.976410256410254,0.0,0.0,0,5,1
12386,157,6,682.89,0.6,38,113.815,192.78666666666663,0.0,0.0,0,3,1
12388,115,10,833.7099999999999,0.0526315789473684,31,83.371,94.364,0.0,0.0,0,1,1
12393,123,13,2413.84,0.4090909090909091,39,185.68,91.32,0.0,0.0,0,1,1
12395,165,14,1641.49,0.28125,10,117.24928571428572,21.742857142857144,0.0,0.0,0,1,1
12402,95,6,750.07,0.5454545454545454,22,125.01166666666668,111.61333333333334,0.0,0.0,0,3,1
12410,11,14,2558.02,0.1538461538461538,8,182.71571428571428,17.394285714285715,14.0,2558.02,1,1,0
12413,132,10,3168.11,0.4615384615384615,15,316.81100000000004,45.66,0.0,0.0,0,1,1
12414,18,6,645.86,0.1428571428571428,43,107.64333333333332,218.1533333333333,6.0,645.86,1,1,0
12415,141,24,3131.0,0.2978723404255319,29,130.45833333333334,36.781666666666666,0.0,0.0,0,5,1
12417,75,15,1942.03,0.3666666666666666,37,129.46866666666668,75.08533333333334,0.0,0.0,0,1,0
12421,77,6,2099.6400000000003,0.7272727272727273,38,349.94000000000005,192.78666666666663,0.0,0.0,0,3,0
12422,103,9,1110.61,0.3846153846153846,50,123.4011111111111,169.11111111111111,0.0,0.0,0,1,1
12423,173,8,865.66,0.4375,9,108.2075,34.245000000000005,0.0,0.0,0,1,1
12427,171,3,1440.33,0.4615384615384615,37,480.11,375.4266666666667,0.0,0.0,0,3,1
12429,263,10,2732.7200000000003,0.3,43,273.27200000000005,130.892,0.0,0.0,0,0,1
12431,41,32,5909.39,0.3181818181818182,14,184.6684375,13.3175,0.0,0.0,0,5,0
12433,266,55,17779.06,0.3197278911564626,32,323.2556363636364,17.710545454545457,0.0,0.0,0,6,1
12434,223,1,49.52,0.6666666666666666,32,49.52,974.08,0.0,0.0,0,3,1
12437,18,14,2593.34,0.1666666666666666,50,185.23857142857145,108.71428571428572,9.0,2281.02,1,1,0
12441,278,11,1814.3,0.6363636363636364,39,164.93636363636364,107.92363636363638,0.0,0.0,0,3,1
12451,104,57,10878.83,0.3366336633663366,49,190.85666666666663,26.16771929824562,0.0,0.0,0,6,1
12464,14,6,1303.38,0.5,26,217.23,131.90666666666667,6.0,1303.38,1,1,0
12468,52,7,1475.21,0.25,9,210.74428571428567,39.13714285714286,0.0,0.0,0,1,0
12471,16,70,14939.01,0.3125,11,213.41442857142857,4.783428571428572,11.0,2851.69,1,6,0
12472,63,67,13065.67,0.4126984126984127,2,195.01,0.9086567164179103,0.0,0.0,0,6,0
12474,61,27,7162.08,0.4166666666666667,17,265.2622222222222,19.16592592592593,0.0,0.0,0,5,0
12476,34,13,3434.05,0.3703703703703703,14,264.15769230769234,32.78153846153846,0.0,0.0,0,1,0
12477,27,2,265.79,0.5,10,132.895,152.20000000000002,2.0,265.79,1,1,0
12480,148,14,1542.43,0.3571428571428571,22,110.17357142857144,47.83428571428572,0.0,0.0,0,1,1
12481,152,13,11561.1,0.2826086956521739,49,889.3153846153847,114.73538461538465,0.0,0.0,0,5,1
12483,167,6,1071.38,0.1428571428571428,39,178.56333333333336,197.86,0.0,0.0,0,1,1
12484,150,35,6399.46,0.3877551020408163,44,182.8417142857143,38.267428571428574,0.0,0.0,0,5,1
12489,151,6,871.67,0.4,2,145.27833333333334,10.146666666666668,0.0,0.0,0,1,1
12490,124,22,3115.59,0.3488372093023256,26,141.61772727272728,35.974545454545456,0.0,0.0,0,5,1
12494,165,5,456.91,0.5714285714285714,28,91.382,170.464,0.0,0.0,0,3,1
12500,141,3,95.76,0.6,46,31.92,466.7466666666666,0.0,0.0,0,3,1
12501,42,71,11200.83,0.275,8,157.7581690140845,3.4298591549295776,0.0,0.0,0,6,0
12502,16,21,5371.43,0.4516129032258064,23,255.78238095238095,33.33904761904762,21.0,5371.43,1,5,0
12503,158,1,16.630000000000003,0.0,36,16.630000000000003,1095.84,0.0,0.0,0,1,1
12510,105,12,1592.53,0.3103448275862069,25,132.71083333333334,63.41666666666666,0.0,0.0,0,1,1
12515,172,4,1367.14,0.1875,28,341.785,213.08,0.0,0.0,0,1,1
12523,132,3,577.99,0.7142857142857143,35,192.66333333333333,355.1333333333334,0.0,0.0,0,3,1
12524,140,5,643.75,0.625,20,128.75,121.76000000000002,0.0,0.0,0,3,1
12527,108,6,1697.47,0.1,25,282.9116666666667,126.83333333333331,0.0,0.0,0,1,1
12528,35,22,4742.32,0.3870967741935484,43,215.56,59.49636363636364,0.0,0.0,0,5,0
12530,152,8,1426.88,0.0769230769230769,29,178.36,110.345,0.0,0.0,0,1,1
12539,54,100,20437.99,0.2887700534759358,13,204.3799,3.9572,0.0,0.0,0,7,0
12540,22,32,4595.59,0.28125,25,143.6121875,23.78125,10.0,1632.4,1,5,0
12551,189,9,1771.94,0.3,41,196.88222222222225,138.67111111111112,0.0,0.0,0,0,1
12553,70,14,1814.03,0.2564102564102564,8,129.57357142857143,17.394285714285715,0.0,0.0,0,1,0
12557,137,4,334.12,0.5555555555555556,50,83.53,380.5,0.0,0.0,0,3,1
12559,21,11,2959.61,0.3636363636363636,25,269.0554545454545,69.18181818181819,2.0,286.18,1,1,0
12567,11,71,13476.34,0.3356164383561644,23,189.8076056338028,9.860845070422537,36.0,6877.12,1,6,0
12574,46,5,1776.83,0.6363636363636364,48,355.366,292.22400000000005,0.0,0.0,0,3,0
12577,203,33,6559.3,0.3134328358208955,10,198.76666666666668,9.224242424242425,0.0,0.0,0,5,1
12578,57,40,6189.9400000000005,0.3947368421052631,8,154.7485,6.088,0.0,0.0,0,5,0
12583,152,15,3118.75,0.2857142857142857,33,207.91666666666663,66.968,0.0,0.0,0,1,1
12585,161,26,4451.45,0.3108108108108108,4,171.20961538461538,4.683076923076923,0.0,0.0,0,5,1
12586,303,1,25.49,0.0,3,25.49,91.32,0.0,0.0,0,0,1
12591,60,21,4798.26,0.3076923076923077,25,228.48857142857145,36.23809523809524,0.0,0.0,0,5,0
12594,93,5,921.08,0.25,13,184.216,79.144,0.0,0.0,0,1,1
12600,16,8,891.36,0.6,39,111.42,148.395,4.0,419.72,1,3,0
12601,137,4,629.03,0.5555555555555556,10,157.2575,76.10000000000001,0.0,0.0,0,3,1
12605,257,2,301.19,0.0,37,150.595,563.14,0.0,0.0,0,0,1
12609,66,4,435.35,0.1875,3,108.8375,22.83,0.0,0.0,0,1,0
12621,188,20,2742.85,0.3636363636363636,44,137.14249999999998,66.968,0.0,0.0,0,0,1
12625,16,24,6450.28,0.396551724137931,26,268.76166666666666,32.97666666666667,3.0,63.35,1,5,0
12626,28,34,5673.09,0.2985074626865671,30,166.85558823529414,26.858823529411765,2.0,469.65,1,5,0
12637,57,26,4877.77,0.3466666666666667,13,187.6065384615385,15.22,0.0,0.0,0,5,0
12643,136,1,72.78999999999999,0.5,48,72.78999999999999,1461.12,0.0,0.0,0,3,1
